Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,9,0.91,0.31,0.548527509
75% Corpus,7,0.91,0.61,0.546600915
75% Corpus,9,0.01,0.91,0.545446441
75% Corpus,7,0.31,0.91,0.545312312
75% Corpus,7,asymmetric,0.61,0.544914544
75% Corpus,7,0.91,0.91,0.544698838
75% Corpus,7,0.01,0.61,0.544171848
75% Corpus,7,0.01,0.91,0.542953794
75% Corpus,7,symmetric,0.91,0.542953794
75% Corpus,7,asymmetric,0.91,0.542953794
75% Corpus,6,0.91,0.61,0.541662638
75% Corpus,7,0.61,0.61,0.540711986
75% Corpus,7,0.31,0.61,0.53953387
75% Corpus,7,symmetric,0.61,0.538972591
75% Corpus,7,0.31,0.31,0.53882956
75% Corpus,8,asymmetric,0.91,0.538743121
75% Corpus,9,asymmetric,0.61,0.534703588
75% Corpus,7,0.61,0.31,0.533854602
75% Corpus,7,0.91,0.31,0.532736208
75% Corpus,10,0.91,0.91,0.532731493
75% Corpus,6,0.91,0.91,0.532534911
75% Corpus,10,0.91,symmetric,0.531629117
75% Corpus,8,0.91,0.31,0.5304212
75% Corpus,10,0.61,0.91,0.526731888
75% Corpus,7,0.61,symmetric,0.526090636
75% Corpus,7,asymmetric,0.31,0.52334401
75% Corpus,9,symmetric,0.61,0.523188539
75% Corpus,6,0.61,0.91,0.521916623
75% Corpus,9,0.61,0.31,0.521046598
75% Corpus,7,0.91,symmetric,0.520311977
75% Corpus,7,0.31,symmetric,0.520295743
75% Corpus,5,0.91,0.01,0.519826022
75% Corpus,7,0.01,0.31,0.518783986
75% Corpus,7,symmetric,0.31,0.518783986
75% Corpus,9,0.01,0.61,0.518228026
75% Corpus,5,0.91,0.91,0.517863217
75% Corpus,9,0.31,0.61,0.517353485
75% Corpus,5,0.01,0.91,0.517228332
75% Corpus,5,symmetric,0.91,0.517228332
75% Corpus,5,asymmetric,0.91,0.517228332
75% Corpus,5,0.61,0.91,0.51615257
75% Corpus,10,0.91,0.01,0.515207162
75% Corpus,5,0.31,0.91,0.51494442
100% Corpus,7,0.31,0.91,0.51335262
75% Corpus,7,0.01,0.01,0.510404581
75% Corpus,7,0.31,0.01,0.510382045
100% Corpus,7,symmetric,0.91,0.510050523
75% Corpus,7,0.61,0.01,0.508985696
75% Corpus,7,0.01,symmetric,0.507745717
75% Corpus,7,symmetric,symmetric,0.507745717
75% Corpus,9,0.01,0.31,0.507484594
75% Corpus,7,asymmetric,symmetric,0.507381457
100% Corpus,7,asymmetric,0.91,0.507349885
75% Corpus,7,symmetric,0.01,0.507147843
75% Corpus,5,asymmetric,0.61,0.506861258
100% Corpus,9,0.01,0.31,0.506814778
75% Corpus,9,symmetric,0.31,0.506699613
75% Corpus,5,0.61,0.01,0.506655171
75% Corpus,7,asymmetric,0.01,0.506244867
75% Corpus,9,0.31,0.31,0.505320106
75% Corpus,8,0.61,0.31,0.504619812
75% Corpus,8,0.31,0.31,0.504366166
100% Corpus,7,0.91,0.91,0.503713549
100% Corpus,9,symmetric,0.31,0.50294025
75% Corpus,8,0.31,0.61,0.50283468
100% Corpus,7,0.01,0.91,0.502782487
75% Corpus,9,asymmetric,0.31,0.501810955
75% Corpus,10,0.61,0.01,0.500438867
75% Corpus,7,0.91,0.01,0.500191781
100% Corpus,9,symmetric,0.01,0.499844806
75% Corpus,9,symmetric,0.91,0.499227256
100% Corpus,6,0.31,0.91,0.499085168
100% Corpus,6,0.61,0.91,0.499085168
100% Corpus,6,0.91,0.91,0.499085168
100% Corpus,6,symmetric,0.91,0.499085168
100% Corpus,6,asymmetric,0.91,0.499085168
100% Corpus,9,0.61,0.01,0.498371652
75% Corpus,5,0.91,0.61,0.49805941
75% Corpus,10,0.91,0.61,0.497893817
100% Corpus,9,0.31,0.01,0.497679901
75% Corpus,10,0.61,0.31,0.496980391
75% Corpus,8,0.01,0.31,0.496782513
75% Corpus,8,symmetric,0.31,0.496463399
75% Corpus,5,symmetric,0.01,0.496131858
100% Corpus,9,asymmetric,0.01,0.496101845
75% Corpus,5,0.61,0.31,0.496078616
75% Corpus,10,0.91,0.31,0.496019358
75% Corpus,5,0.01,0.31,0.495529109
75% Corpus,5,0.01,0.61,0.495529109
75% Corpus,5,symmetric,0.31,0.495529109
75% Corpus,5,0.31,0.01,0.494351221
75% Corpus,5,0.31,0.61,0.494182512
75% Corpus,5,0.91,0.31,0.494182512
75% Corpus,5,0.91,symmetric,0.494182512
75% Corpus,5,symmetric,0.61,0.494182512
100% Corpus,9,0.31,0.31,0.49338158
100% Corpus,9,0.91,0.01,0.492844647
